ActorID;MovieID;Role
1900052J;3271336K;
1900052J;3358503L;
1900052J;3365432M;Chanachol
1900052J;3427169M;Thach
1900052J;3428177M;Ken
1900052J;3470555O;Karan
1900052J;3486593O;Paison
1900052J;3520385P;Thaen
1900052J;3562617R;
1900052J;3643192S;Tot
1900052J;3972680Y;
1900053M;3196945I;Baydakov
1900053M;3260863K;
1900053M;3333447L;
1900053M;3418903M;
1900053M;3471742O;
1900053M;3472237O;
1900053M;3658288S;Chico Gosho
1900053M;3711534T;Fool
1900053M;3981185Z;Mikhail Tkachyov
1900054L;3260866K;
1900055Y;3150498H;Dan the Slate
1900055Y;3838736T;Mr. Tanaka
1900056J;2813485B;Afrikanischer Politiker
1900056J;3429529M;Ayoade's Father
1900056J;3435431N;
1900056J;3944555W;Black prisoner
1900056J;3967753W;The Writer
1900057Y;3537238P;Gabriel
1900058Y;3476393O;Bill
1900059M;3543064P;Himself
1900062M;3477718O;Bob Simpson
1900063Y;3765663T;Himself
1900065M;3410453M;Tho
1900066Y;2922616C;Crazy Guy
1900066Y;3062079F;Grigo
1900066Y;3096246F;Mack
1900066Y;3464861N;Aviator
1900066Y;3507742P;Jack
1900066Y;3815444T;Teddy
1900067H;3392450M;
1900069M;3762188T;
1900069M;3845244T;Kamura
1900070Y;2861165B;Itta
1900070Y;2907771C;Yusei Nishida
1900070Y;2907772C;Yusei Nishida
1900070Y;3025967E;Sosuke Rino
1900070Y;3101457F;
1900071B;3837437T;Brent
1900072C;3021559E;Captain Krankor
1900073C;3029783E;
1900074C;3285749L;Himself
1900075D;3303234L;Gaucho
1900079D;3950449W;Security Guard
1900080E;3760953T;TV Cameraman #1
1900082M;2840260B;Big Dom
1900082M;3431910M;'It Sucks' Producer
1900082M;3757437T;Gary Pepperdine
1900083I;3156363H;
1900083I;3234789J;David
1900084F;2984639D;Himself
1900085F;3562626R;Mon
1900086K;3116059G;Background Ghost
1900088G;3302657L;Assistant of Bro. Jake
1900089G;3260363K;Rach
1900089G;3604811S;Wan
1900090J;3019318D;
1900091G;3478932O;Videur du Rainbow Bar
1900093H;3677742S;L'enfant
1900094Y;3011360D;
1900095Y;3337880L;Pemerkosa #2
1900098W;2948403D;The King of Liang
1900098W;3975111Y;Ip Ching
1900099J;2862358B;1. Chinesischer Agent
1900101J;3471751O;
1900101J;3488001O;
1900101J;3530954P;Omelchenko
1900102J;2741721A;
1900103J;3708229T;Himself
1900104A;3447429N;Kuan
1900106B;3332813L;
1900106B;3970000X;
1900107B;3236195J;Father Long
1900107B;3359554L;Liu Siye
1900107B;3407558M;Zhang Jinghui
1900107B;3711060T;Yuan Shi Kai
1900107B;3861654T;
1900107B;3964077W;
1900107B;3987755Z;Zhang's father
1900109B;3006967D;
1900109B;3955620W;Detective Bond
1900110B;3515811P;Retcon Soldier
1900111B;2745967A;Bar patron
1900112C;3189908I;Mike
1900113M;3173073H;Wu Ching
1900114M;3637124S;Red Lotus Temple Monk
1900115M;2712135-;Citizen in gym
1900116M;3389445M;
1900117M;3071713F;
1900117M;3555564Q;Director
1900118M;3937416W;
1900119M;3646503S;Extra
1900119M;3803278T;Teacher
1900120M;3103399G;Gardener
1900121M;3417644M;
1900121M;3968197W;Joe
1900122N;3630993S;
1900123C;3183913H;
1900124N;2813396B;
1900124N;2950037D;
1900124N;3005500D;A kid
1900124N;3047920E;Chiang A-jih (segment "The Taste of Apple")
1900124N;3143839H;Ah Kuo
1900124N;3143840H;
1900124N;3143843H;
1900124N;3237939J;
1900124N;3275061K;
1900124N;3275094K;A-Kuo
1900124N;3409396M;Gas shop owner
1900124N;3963334W;
1900124N;3970064X;
1900124N;3977109Y;
1900124N;3979755Y;(Juvenile)
1900124N;3984706Z;
1900125N;3123189G;Yokohama street hippie (speaking Chinese)
1900125N;3339180L;
1900127O;3636515S;
1900127O;3968265W;
1900127O;3974658Y;
1900128C;3153823H;
1900129Q;2961144D;Bad senior
1900129Q;3124899G;Monitor
1900130D;3322270L;The Boy
1900135D;3124560G;I.R.I.S. and Tomo
1900136D;3633587S;
1900136D;3633589S;Abbot Chuan Hung
1900137D;3970029X;Yan Han
1900138D;2915286C;
1900138D;3241764J;Pak Andi
1900139E;3190717I;Skinhead
1900140E;3320418L;
1900142F;3636614S;
1900143F;2910959C;
1900144W;3505441P;Fue Bodyguard
1900147W;3339860L;
1900148W;3795293T;Bus Stop Old Lady
1900149W;3139379H;
1900151G;2913235C;Gentleman
1900151G;3401090M;
1900151G;3437666N;Zeng Demao
1900151G;3974730Y;
1900152G;2916097C;Teeterboard
1900154G;3871958T;Court Caller Eunuch
1900155H;2712135-;Grass Puller
1900156H;3063345F;Kendo Warrior
1900157H;2822712B;Ai Te-Hua
1900158Y;2884937C;
1900158Y;2913266C;Pan Shuming
1900159Y;2846931B;SDU member
1900159Y;3133847G;One of Meng Tan's soldiers
1900159Y;3237442J;Fighter in dojo
1900159Y;3359483L;Stick
1900159Y;3673739S;Gangster in crowd
1900159Y;3714794T;Big Noise Fa (Cheng's gangster)
1900159Y;3968327W;The Master's Henchman
1900159Y;3969878X;One of Jade Warlord's guards
1900159Y;3974705Y;Correctional officer C
1900160H;3243645J;
1900161Y;3511147P;Fengmo's Friend
1900163Y;3236218J;Unnamed character
1900164Y;2864396B;Missail
1900164Y;3938142W;Prince Andrei's Orderly
1900166Z;2985107D;Vice-Admiral
1900167Z;3028229E;Master Boonsat
1900168F;2711240-;Teenager 2
1900168F;3181291H;Scarface
1900168F;3385097M;Tung
1900168F;3408858M;Ho
1900168F;3493515O;TaiYu (older)
1900168F;3597365R;Michael Lee
1900169Y;3502139P;Luo Xi
1900169Y;3942078W;Chen Zuo
1900170Y;3981039Z;Swat
1900173Y;2725274A;
1900174Y;2985107D;Kuang Zhao
1900174Y;3236218J;Prince Zhao
1900174Y;3979657Y;
1900175D;3237425J;School Play Prince
1900176K;3947467W;Peter Knoll
1900178M;3779246T;Jim
1900179M;2711240-;Teenager 3
1900180K;3071667F;
1900180K;3984822Z;
1900181K;3402502M;Snake
1900182K;3104874G;
1900182K;3621569S;
1900182K;3714821T;Bank robber
1900185M;3851524T;Aim
1900186L;3019515D;
1900187Y;3144079H;Commissiner
1900188L;3770238T;Bank Clerk A
1900190L;3306611L;
1900191L;3306649L;Hao's Friend
1900192E;2720913-;Coroner
1900192E;2901628C;
1900192E;3276235K;Dying Ling
1900192E;3276240K;Dying Ling
1900192E;3862989T;
1900195L;3871958T;
1900196L;3275602K;Chinese master
1900197M;3144353H;Cameo 2
1900198M;3065245F;Policewoman
1900199M;3858078T;Mao
1900200M;3636107S;Sardine Punter
1900201M;3139598H;Kim Chui
1900201M;3204234I;Sherman Hu
1900201M;3784428T;Himself
1900201M;3805135T;Himself - Narrator
1900202M;2951901D;
1900204N;2909183C;Ni
1900204N;3011474D;Lady on the Street
1900204N;3886581T;Ni
1900205N;2900564C;Party guest at fish store
1900205N;3413984M;Bowell
1900205N;3434911N;Inspector Law's Assistant
1900205N;3606216S;Detention Room Suspect
1900205N;3642102S;Hoi's Man
1900205N;3865279T;Anti-triad team member
1900207O;3558938R;
1900207O;3633324S;Ling Ming
1900208P;2800382A;Fernandinho
1900211Y;3587048R;Iranian Terrorist
1900212H;2985112D;
1900213P;3393948M;
1900214Q;3621571S;Himself
1900215R;3276188K;Amber
1900216H;2774401A;Dennis
1900216H;2949966D;Miguel
1900216H;3080988F;Joel (segment "Pangako")
1900216H;3088584F;Himself
1900216H;3115971G;Ricky Salveron
1900216H;3127401G;Lorenz Montinola
1900216H;3170902H;Gabriel
1900216H;3257166K;Alex
1900216H;3365228M;Dodie
1900216H;3422836M;Gabriel
1900216H;3497520P;Jason
1900216H;3560583R;Gary Balmaceda
1900217A;3019515D;Ho Sze-tung
1900217A;3085322F;Underground Doctor
1900217A;3139973H;Senior Inspector Yu
1900217A;3181141H;Doctor
1900217A;3359485L;Police Inspector
1900217A;3550054P;Senior Inspector Yu
1900217A;3606361S;Ko's Boss
1900218H;3459906N;
1900219J;2932981C;Himself
1900221S;2825693B;Luo Jieshan
1900221S;3005591D;Dongfang Jian
1900221S;3555557Q;
1900221S;3707446T;Wei Lihuang
1900221S;3968187W;Shen Lan
1900222K;3110745G;
1900223E;2861346B;
1900224L;2744517A;A Tan
1900224L;2760750A;A Qiu
1900224L;3974962Y;Silver jewelry maker
1900225K;3861726T;
1900227E;3502007P;Delivery Guy
1900232E;3888887T;Basketball Team Member
1900233T;3341709L;
1900234M;3218081I;General
1900235M;3682254S;Office Worker #5
1900236M;3386217M;The Moon Hack
1900237W;3975012Y;
1900237W;3975120Y;
1900238W;3016015D;Hotel Manager
1900239X;2719883-;Fang Mingshan
1900239X;3071537F;Qin Zhixin
1900239X;3084526F;Han Xiyuan
1900239X;3979759Y;
1900240Y;2712135-;Angry Citizen
1900241E;3181269H;
1900241E;3871958T;
1900243X;2995114D;
1900244Y;3813426T;N/A
1900246Y;2713847-;
1900247Y;3133689G;Son
1900248Y;3606333S;
1900248Y;3694768S;Lung
1900249Y;2818623B;Hong Taiji
1900249Y;3745079T;Kai
1900251Y;2875617B;
1900253Y;3070595F;Pao Xiaomin
1900254Y;2902017C;
1900255Y;2932591C;Homme scurit 1
1900255Y;3284894L;Zhou
1900255Y;3291355L;Sovatha Kim
1900255Y;3316982L;
1900255Y;3410544M;Le businessman chinois
1900255Y;3928065V;Interpol Agent
1900256N;3828661T;Himself
1900257Z;2948799D;
1900258Z;3048614E;Huzi, Ermo's Son
1900259Z;3970349X;
1900259Z;3984438Z;Meng Shijun
1900261Z;3770990T;Chu Yun
1900262M;3520505P;
1900263L;2948799D;
1900264C;3181268H;
1900265Y;3631017S;
1900266M;3637549S;
1900267Z;3181718H;
1900267Z;3237620J;
1900267Z;3454200N;
1900267Z;3974852Y;
1900267Z;3975120Y;
1900268C;2753921A;
1900269N;2749932A;Man B
1900269N;2749933A;
1900269N;2749934A;Okano's Follower A
1900269N;2789052A;
1900269N;2789056A;Niwa
1900269N;2819749B;Kikuchi
1900269N;2819750B;Mochizuki
1900269N;2819751B;
1900269N;2819753B;Kiyokawa
1900269N;2827940B;Takimoto
1900269N;2883114B;
1900269N;3110143G;Karasawa
1900269N;3110145G;
1900269N;3127152G;Kazama
1900269N;3137030G;Kanzaki
1900269N;3142108H;Harimoto
1900269N;3164688H;Takuya Asano
1900269N;3168545H;
1900269N;3176841H;Tanaka-san
1900269N;3197420I;Ishiguro
1900269N;3225282I;
1900269N;3225935I;Fishmonger
1900269N;3236478J;Kawakami
1900269N;3237463J;Isamu Kasai
1900269N;3237465J;Rysuke Kaga
1900269N;3237467J;
1900269N;3237615J;
1900269N;3241789J;Adachi
1900269N;3245793J;Dobutatsu
1900269N;3249567K;Maruyama
1900269N;3252334K;Tadano
1900269N;3259132K;Himself
1900269N;3262361K;Machida
1900269N;3270190K;
1900269N;3277970K;
1900269N;3402173M;Arakawa Sr.
1900269N;3452205N;A drifter
1900269N;3457565N;
1900269N;3634353S;Kaneko-san
1900269N;3637922S;Shin Kud
1900269N;3637926S;
1900269N;3642851S;Shimada
1900269N;3642852S;Autojilo
1900269N;3667386S;
1900269N;3706469T;S
1900269N;3720087T;
1900269N;3874824T;Ikeno
1900269N;3894387T;Hoshikawa
1900269N;3913178U;Torakichi
1900269N;3972036Y;
1900269N;3982131Z;Kanbayashi
1900269N;3984622Z;Japanese spear expert
1900269N;3986129Z;Shiraki
1900269N;3986143Z;Yukiz
1900269N;3991941K;Bagman
1900270R;3983300Z;Himself
1900271E;2748688A;Tamiya-sempai
1900271E;2748689A;Tamiya-senpai
1900271E;2749937A;Gang Leader
1900271E;2761152A;Yakuza (segment "Let"s Spend The Night Together")
1900271E;2761193A;
1900271E;2761194A;
1900271E;2763762A;Richter Belmont/Shaft
1900271E;2795722A;Iga
1900271E;2795723A;Iga
1900271E;2795725A;Iga
1900271E;2819725B;JaniIga
1900271E;2853654B;Tessai Tsukabishi
1900271E;2866166B;Priest
1900271E;2879480B;Ganack
1900271E;2913968C;Locker Knight
1900271E;2916571C;Member C
1900271E;2969379D;777
1900271E;2970918D;Andromon
1900271E;3045093E;Yogostein/Ronin
1900271E;3054275E;
1900271E;3058322E;Exper Venom
1900271E;3109606G;Tessai Tsukabishi
1900271E;3109608G;Yogostein
1900271E;3116173G;Bolkazanda III
1900271E;3136180G;Takamasa
1900271E;3137619G;Yogoshimacritein
1900271E;3146739H;Detective Shimizu
1900271E;3240484J;Jotaro Kujo
1900271E;3250574K;Yogoshimacritein
1900271E;3251987K;El of the Water
1900271E;3254264K;Suiko
1900271E;3262251K;Pilot
1900271E;3262275K;Zabine Chareux
1900271E;3265034K;Duke
1900271E;3269879K;Duke
1900271E;3276581K;Nikolaev
1900271E;3367357M;Man
1900271E;3380268M;Mike Haggar
1900271E;3389506M;Andre Camel
1900271E;3445437N;Brick
1900271E;3453633N;Boss Tau Zant
1900271E;3489653O;Dolz Intelligence Agent
1900271E;3498331P;Kantoku
1900271E;3502114P;Devidok
1900271E;3602950S;Normal Ghost
1900271E;3605965S;Yogostein
1900271E;3616545S;Narrator
1900271E;3636661S;Cool Z
1900271E;3637944S;Daniel Hamada
1900271E;3653209S;
1900271E;3653210S;
1900271E;3653211S;Akagi Takenori
1900271E;3653212S;
1900271E;3672625S;Rhino/The Punisher/Scorpion
1900271E;3718975T;Narrator
1900271E;3721981T;Golden Cherry Boy B
1900271E;3921353V;Jack
1900271E;3973132Y;Uchujin A
1900271E;3980881Y;Palpalepa
1900271E;3987029Z;Rock Thunderheart
1900272D;2722458-;
1900273Y;3887623T;
1900273Y;3934732W;
1900275B;3044509E;Crematorium Alto Player
1900276K;3938578W;
1900277K;3147323H;
1900280N;3972204Y;
1900281E;2762844A;Madwoman's father
1900281E;2763497A;Yanagisawa
1900281E;2763696A;Hiroshi Ebihara
1900281E;2800080A;Himself
1900281E;2864287B;
1900281E;2880370B;Gonnosuke Shizuta
1900281E;3071712F;Kentaro Yamada
1900281E;3102352F;
1900281E;3137030G;
1900281E;3140094H;Tohata
1900281E;3142175H;
1900281E;3147703H;
1900281E;3149558H;
1900281E;3164169H;
1900281E;3173149H;Kiyaoki Hayashi
1900281E;3249787K;Ogosho
1900281E;3262631K;Ushigi
1900281E;3264186K;
1900281E;3264187K;
1900281E;3266291K;Genkichi
1900281E;3266476K;Ooinokami Matsudaira
1900281E;3270207K;
1900281E;3270304K;
1900281E;3273048K;Sohei Mizuki
1900281E;3276802K;Fujimura
1900281E;3278944K;Hotel owner
1900281E;3362682M;Hyogoro Onishi
1900281E;3389551M;Kiyohide Yamatomori
1900281E;3398571M;
1900281E;3436663N;Yasugoro
1900281E;3452162N;Iwami
1900281E;3452219N;Shinpachiro Kasahara
1900281E;3452225N;Hirofumi Ito
1900281E;3454026N;Magosaburo Omori
1900281E;3472224O;Naosuke Yamauchi
1900281E;3496835O;Eitaro
1900281E;3575246R;Nagano
1900281E;3582350R;Ishimoto
1900281E;3602516S;Forger
1900281E;3609279S;Naoyoshi Ashikaga
1900281E;3637898S;Emperor Shirakawa
1900281E;3638114S;Matsudono
1900281E;3707541T;Premier Admiral Mitsumasa Yonai
1900281E;3707542T;
1900281E;3712634T;
1900281E;3873059T;Shunsuke's father
1900281E;3874824T;Tachibana
1900281E;3894359T;Kiyobei
1900281E;3913178U;Shinsaku Ohwada
1900281E;3973038Y;Daihachi
1900281E;3976204Y;Toki Yonebayashi
1900281E;3980028Y;Naoyuki Shinano
1900281E;3980088Y;Hiromi-ya
1900281E;3982571Z;Sukegor of Iioka/Iioka yakuza boss
1900281E;3986129Z;Daisaku wada
1900281E;3986149Z;Sukegoro Hanoka
1900282G;3770804T;Himself
1900283M;2864986B;
1900283M;3606450S;
1900287Y;3197507I;
1900287Y;3253524K;
1900288K;2950083D;
1900288K;3002462D;
1900288K;3161322H;
1900288K;3161323H;
1900288K;3161324H;Sugawa
1900288K;3161329H;
1900288K;3248394J;
1900288K;3250113K;Guest
1900288K;3261307K;
1900288K;3407135M;
1900288K;3971794Y;
1900288K;3971803Y;
1900288K;3971805Y;
1900288K;3980770Y;
1900289K;3869030T;
1900290M;3164688H;
1900292K;2795563A;Yoshida
1900294M;2720851-;
1900294M;2775966A;
1900294M;3140064H;Kentaro's co-worker
1900294M;3257362K;
1900294M;3438863N;
1900294M;3582607R;Kudo
1900294M;3693167S;Luciane
1900294M;3698384S;Hide
1900294M;3927694V;
1900295A;3109644G;Onari
1900295A;3197523I;
1900295A;3252015K;Onari
1900295A;3252023K;Onari
1900296D;3276384K;Kuniyoshi Tajimi
1900299K;2761586A;Sawaki
1900299K;2785239A;
1900299K;2908040C;Yasunori Machida
1900299K;3022758E;
1900299K;3067360F;Uno
1900299K;3101563F;
1900299K;3241723J;
1900299K;3392450M;
1900299K;3492062O;
1900299K;3523335P;
1900299K;3606449S;
1900299K;3669643S;Honjo
1900299K;3980584Y;
1900300W;3684880S;Wahooka
1900301Y;2759790A;Foster father
1900302Y;3407090M;Himself
1900303Y;2955292D;Internee #5
1900304Y;2718241-;Masaki
1900304Y;2763394A;Machisu - adolescent
1900304Y;2801242A;Tamaki (Bureaucrat)
1900304Y;2827767B;
1900304Y;2829272B;Himself
1900304Y;2829273B;Himself
1900304Y;2829274B;Himself
1900304Y;2829275B;Himself
1900304Y;2829276B;Himself
1900304Y;2829277B;Himself
1900304Y;2829278B;Himself
1900304Y;2829279B;Himself
1900304Y;2829280B;Himself
1900304Y;2861099B;
1900304Y;2952973D;
1900304Y;2999317D;
1900304Y;3028908E;Hattori
1900304Y;3116079G;Morio
1900304Y;3127393G;Jiro (Yuki's Dad)
1900304Y;3142149H;Chef #1
1900304Y;3151993H;
1900304Y;3153502H;
1900304Y;3203539I;Takeshi
1900304Y;3225281I;
1900304Y;3237764J;Fumihiro Kodera
1900304Y;3242874J;Toshio Murai/the director
1900304Y;3242995J;Shunsuke Kobayashi (segment "Toshio")
1900304Y;3242997J;Shunsuke Kobayashi (segment "Kayako")
1900304Y;3243004J;Juku-kshi Kasahara
1900304Y;3250115K;
1900304Y;3261822K;
1900304Y;3271747K;
1900304Y;3275257K;Detective Kubo
1900304Y;3275258K;
1900304Y;3276938K;Man Emptying the Dead Man's Apartment
1900304Y;3285645L;Security Guard
1900304Y;3401203M;Abiko
1900304Y;3402256M;
1900304Y;3407217M;Professor Morikawa
1900304Y;3452088N;Taku
1900304Y;3583411R;AD Okazaki
1900304Y;3583413R;Okazaki
1900304Y;3603273S;
1900304Y;3612501S;Tetsuya
1900304Y;3631588S;
1900304Y;3639289S;
1900304Y;3666756S;
1900304Y;3693004S;
1900304Y;3694841S;
1900304Y;3705860T;
1900304Y;3746735T;
1900304Y;3796164T;Himself
1900304Y;3870295T;Teruo Tanasita
1900304Y;3887483T;
1900304Y;3972458Y;
1900304Y;3976055Y;
1900304Y;3980315Y;Morikawa
1900304Y;3980866Y;(story "Rokku hant Iemon")
1900304Y;3980869Y;
1900305M;2759766A;Naoyuki takahashi
1900305M;2762786A;
1900305M;2801843A;Section Leader Mochizuki
1900305M;2817122B;
1900305M;2861100B;Seiji Murata
1900305M;2909614C;Hoshino
1900305M;2950007D;Himself
1900305M;2954930D;Keisuke Honjo
1900305M;3012782D;
1900305M;3100151F;
1900305M;3123321G;
1900305M;3138791H;Moriyama
1900305M;3142262H;Satoshi
1900305M;3173382H;
1900305M;3176831H;Kenji Shimada
1900305M;3213726I;
1900305M;3213727I;
1900305M;3224766I;
1900305M;3237857J;Noboru Ando
1900305M;3250753K;Kaoru Saionji
1900305M;3258403K;
1900305M;3267252K;Masahiko Shimizu
1900305M;3267257K;Denzo Mamiya
1900305M;3278937K;
1900305M;3279087K;Pilot
1900305M;3348128L;Kizaki Toshiro
1900305M;3389494M;
1900305M;3401146M;Tetsu Tomijima
1900305M;3423435M;Punk
1900305M;3437436N;
1900305M;3465448N;
1900305M;3473054O;Shinji Muroi
1900305M;3473055O;Shinji Muroi
1900305M;3473056O;Shinji Muroi
1900305M;3473058O;Shinji Muroi
1900305M;3473059O;Shinji Muroi
1900305M;3473060O;Shinji Muroi
1900305M;3473061O;Shinji muroi
1900305M;3478796O;Toshio
1900305M;3575247R;Inoue
1900305M;3597625R;Shimazaki
1900305M;3608930S;Tatsuya Nakama
1900305M;3625085S;
1900305M;3642055S;Fumio tsukada
1900305M;3669643S;Shiro Sanada
1900305M;3713755T;Shokichi umeya
1900305M;3720087T;
1900305M;3870268T;Katsumi hamaguchi
1900305M;3976065Y;(segment "Yume wo kau otoko")
1900305M;3980309Y;
1900305M;3980723Y;Muroi Shinji
1900305M;3980833Y;
1900305M;3981695Z;
1900305M;3981696Z;
1900305M;3981697Z;
1900305M;3981698Z;
1900305M;3981699Z;Tokuo murakami
1900305M;3981700Z;Tokuo murakami
1900305M;3981701Z;Tokuo murakami
1900305M;3991987O;
1900306S;3270608K;Additional Voices
1900307Y;3558985R;Himself
1900308B;2892677C;Play Director
1900308B;3815846T;Tyler
1900309H;3025998E;Himself
1900314S;2793902A;
1900314S;3045630E;
1900314S;3045637E;
1900314S;3045638E;Priest Sanzo
1900314S;3045642E;
1900314S;3976349Y;
1900314S;3986049Z;
1900315N;3016964D;Himself
1900316R;3045627E;
1900316R;3272791K;
1900318Y;3266228K;
1900319Y;3271779K;
1900320M;3145030H;
1900321B;3269309K;Blat Vaike
1900322W;3928329V;Sugihara Child #2
1900323M;3259244K;Himself
1900325E;3714191T;
1900326Y;2900684C;
1900326Y;3020068D;
1900326Y;3100081F;
1900326Y;3104107G;
1900326Y;3135395G;
1900326Y;3167331H;
1900326Y;3175405H;
1900326Y;3246088J;
1900326Y;3271895K;
1900326Y;3276577K;
1900326Y;3418107M;
1900326Y;3436028N;
1900326Y;3452306N;
1900326Y;3497734P;
1900326Y;3637264S;
1900326Y;3700243S;
1900326Y;3887594T;
1900326Y;3983377Z;
1900327E;2908002C;
1900327E;3197287I;
1900327E;3638184S;
1900328K;2809875A;
1900330M;3140003H;
1900331M;3054275E;
1900331M;3235760J;Police officer A
1900331M;3262254K;Slender (2000 DVD version)
1900331M;3306444L;
1900331M;3597366R;SP
1900331M;3700235S;Okabe-sensei
1900333G;3258638K;
1900336H;3714122T;Japanese ambassador
1900338Y;3639271S;Kenji Terashima
1900339Z;3929191V;
1900340E;3562241R;Additional Voices
1900341K;3225764I;Himself
1900341K;3225766I;Himself
1900343G;3638903S;Yuji Itabashi
1900344S;2762861A;Shiraishi Paku-san
1900344S;2795562A;Jir Yoshikawa
1900344S;3121517G;
1900344S;3142129H;
1900344S;3148201H;
1900344S;3266020K;Kanoda
1900344S;3270135K;ta
1900344S;3389656M;
1900344S;3395261M;Masaki
1900344S;3454009N;Jtar yama
1900344S;3465605N;Ezaburo Yamamura
1900344S;3895390U;Miyamoto
1900344S;3980071Y;Banto
1900344S;3981170Z;Makoto Takase
1900345S;2762670A;
1900345S;2762671A;
1900345S;2774474A;
1900345S;2784009A;
1900345S;2861173B;
1900345S;2905414C;Shuichiro Motobe
1900345S;2971029D;
1900345S;2971030D;
1900345S;2986294D;
1900345S;3109167G;Ittan Momen
1900345S;3109170G;Ittan Momen
1900345S;3109547G;Shinji Koba
1900345S;3109607G;Mimihiko/Kamen Rider Silver
1900345S;3123187G;Man whose house was destroyed
1900345S;3161107H;
1900345S;3164635H;
1900345S;3219766I;Kumai (The Reporter)
1900345S;3252626K;Zenpei Tani
1900345S;3255790K;
1900345S;3258403K;Shuntaro Yamaoka
1900345S;3331018L;
1900345S;3410342M;
1900345S;3437800N;
1900345S;3445138N;
1900345S;3452306N;Akabane
1900345S;3476238O;
1900345S;3523424P;Yoichi
1900345S;3559664R;Kinichi Araki
1900345S;3585323R;
1900345S;3699585S;
1900345S;3705168S;Tomoo
1900345S;3705544S;Seinikubu Joshu
1900345S;3871895T;
1900345S;3914488U;Hideyuki Akiga
1900345S;3934696W;
1900347K;2826749B;Shiro
1900347K;3252279K;Satoshi Akaiwa
1900347K;3602472S;Takeshi Arakaki
1900348L;3831333T;
1900350T;2762867A;Natsuki Fujiwara
1900350T;2835882B;
1900350T;2982795D;
1900350T;3197256I;
1900350T;3602533S;
1900350T;3603289S;Su Machida
1900350T;3633842S;Filmmaker
1900350T;3639528S;Shunichi Komuro
1900350T;3709416T;Takumi Hayama
1900350T;3918411V;
1900350T;3918412V;
1900350T;3984057Z;Motoki Yamamoto
1900352D;2876597B;Japanese Businessman 2
1900352D;2876598B;Japanese Businessman #2
1900352D;2903076C;Knox Thug
1900352D;3156128H;The Chef
1900352D;3366633M;Mackey's Follower
1900352D;3472213O;Mr. Satoh
1900352D;3640611S;Store Owner
1900352D;3834015T;Hiroo
1900353M;2763311A;Yuto Tachibana
1900353M;3185230H;
1900353M;3270505K;Akitagawa
1900353M;3433851M;
1900353M;3719612T;Zephyrus
1900354Y;3212923I;Kuroiwa
1900354Y;3236022J;
1900354Y;3267770K;
1900354Y;3983898Z;
1900356D;3148345H;
1900357C;3117349G;Factory Foreman
1900360M;2769200A;Band Member #3
1900362K;2763105A;
1900362K;2774472A;
1900362K;3109722G;Gorohachi
1900362K;3109724G;Gorohachi
1900362K;3109733G;Gorohachi
1900362K;3110102G;
1900362K;3126059G;Mamoru's grand father
1900362K;3137431G;Daisuke Aoki
1900362K;3139240H;-rappa
1900362K;3163340H;
1900362K;3197394I;Ken Doigaki
1900362K;3249784K;Suzumoto
1900362K;3277920K;Yasuzo
1900362K;3380194M;Shokuryhinten Tenshu
1900362K;3397531M;Mr. Kaga, foodstore owner
1900362K;3453237N;
1900362K;3453775N;Policeman
