Movie,Path
It's Pat (1994),Two months#[5M-10M[*[5M-10M[#< 1M*< 1M#Bad
Timecode (2000),One month#[1M-5M[*[1M-5M[#< 1M*< 1M#Good
Missing in Action (1984),2 hours#Five months*Five months#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Below average
Monster House (2006),>= 50M#> 100M*> 100M#Good
True Love Zombie (2012),[1K-5K[#< 1M*< 1M#Below average
Assault of the Party Nerds (1989),1.5 hours#Two months
Ihr mich auch (2010),1.5 hours#Two months
How He Fell in Love (2015),< 1M#Excellent
A Gift of Love: The Daniel Huffman Story (1999),1.5 hours#Three months
Forever Young (1992),> 100M#Good
In Dangerous Minds (2016),1.5 hours#Two months
The Anderson Tapes (1971),[1M-10M[#Good
Megiddo: The Omega Code 2 (2001),Two months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Below average
Woh Tera Naam Tha (2004),< 1M#Good
Batman: The Puzzle Master (2015),More than six months#< 1K
The Haunting of Molly Hartley (2008),Five months#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Bad
A Streetcar Named Desire (1951),3 hours#Three months*Three months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Excellent
Wild Thing (1987),2 hours#Two months
Rock House (2006),Two months#[10K-50K[
Am zin (1999),< 1M#Good
Johnny Stecchino (1991),< 1M#Good
Didine (2008),2 hours#Three months
Der heie Tod (1969),< 1M#Below average
Pieces of a Dream (2005),2 hours#One month*One month#[100K-500K[
Gwanghae: Wangyidoen namja (2012),[10M-100M[#Good
Podras con 5 chicas a la vez? (1979),< 1M#Below average
Liar Liar (1997),Four months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Batman Begins (2005),More than six months#>= 50M*>= 50M#> 100M*> 100M#Excellent
2:37 (2006),2 hours#More than six months*More than six months#[500K-1M[*[500K-1M[#[1M-10M[*[1M-10M[#Good
Dr. No (1962),Three months#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Good
Drag Me to Hell (2009),[10M-50M[#[10M-100M[*[10M-100M[#Good
Dead Genesis (2010),One month#[10K-50K[
Livingston Avenue (2009),Two months#[500K-1M[
Thunderground (1989),2 hours#Two months
Parachute Jumper (1933),One month#[100K-500K[
Zhu nu sa liu fang (1982),< 1M#Below average
Rio (2011),>= 50M#> 100M*> 100M#Excellent
La terza stella (2005),[1M-5M[#[1M-10M[*[1M-10M[#Below average
Breathe In (2013),< 1M#Good
Jungle Terror (1949),30 minutes#More than six months
Un homme qui crie (2010),< 1M#Good
Seung joi ngo sam (2001),< 1M#Good
Walking and Talking (1996),[500K-1M[#[1M-10M[*[1M-10M[#Good
Aquel hombre de Tnger (1953),< 1M#Below average
Pedro Pramo (1967),2 hours#Three months
Plane Crazy (1928),Two months#[1K-5K[
On the One (2005),< 1M#Below average
The Lost Soul (2014),Less than a week#[5K-10K[
Panic in the Streets (1950),Two months#[1M-5M[
The Hunters' Club (2017),One month#[50K-100K[
Slap Shot (1977),[10M-100M[#Good
Aan: Men at Work (2004),< 1M#Below average
This Is 40 (2012),[10M-50M[#[10M-100M[*[10M-100M[#Good
Juego sucio en Panam (1975),< 1M#Below average
Ja zuster, nee zuster (2002),[1M-5M[#[1M-10M[*[1M-10M[#Good
Only When I Dance (2009),< 1M#Good
Carola de da, Carola de noche (1969),< 1M#Below average
Dear Angry (2003),30 minutes#Less than a week
Street Knight (1993),< 1M#Below average
Tamo i ovde (2009),[100K-500K[#< 1M*< 1M#Good
Asa Nu Maan Watna Da: In Search of Our Roots (2004),< 1M#Good
Brigada criminal (1950),< 1M#Good
Inkasso (2004),One month#[1M-5M[
The Jackal (1997),>= 50M#> 100M*> 100M#Good
The Automatic Hate (2015),< 1M#Good
Brderna Lejonhjrta (1977),< 1M#Good
La cura del gorilla (2006),< 1M#Good
Baby Ruth (2011),30 minutes#One month*One month#[10K-50K[
Lena Rivers (1932),1.5 hours#Two months
Fans Anonymous (2008),1.5 hours#More than six months*More than six months#[5K-10K[
La ragazza del lago (2007),[1M-5M[#[1M-10M[*[1M-10M[#Good
Tilt (2011),[1M-5M[#< 1M*< 1M#Good
Rood (2013),One month#[5K-10K[
East Plains: Get Out! (2014),More than six months#[10K-50K[
California Solo (2012),One month#[100K-500K[*[100K-500K[#< 1M*< 1M#Good
Confusion (2015),30 minutes#One month*One month#< 1K
Wishful Thinking (1997),2 hours#Two months
Roadside Romeo (2008),< 1M#Below average
peine j'ouvre les yeux (2015),< 1M#Good
Fist of the Dragon (2014),Two months#[100K-500K[
In God's Hands (1998),[1M-10M[#Below average
Miami Spice II (1988),1.5 hours#One month
The Great Waldo Pepper (1975),[10M-100M[#Good
Fishnet (2010),One month#[10K-50K[
Bride of the Monster (1955),Two months#[50K-100K[
Vice Versa (1988),[10M-100M[#Below average
Pafekuto buru (1997),[10K-50K[#< 1M*< 1M#Good
Free Enterprise (1998),< 1M#Good
Om Shanti Om (2007),[1M-10M[#Good
Miami Blues (1990),[1M-10M[#Good
The Roly Poly Man (1994),2 hours#Two months*Two months#[500K-1M[
Lockout (2012),[10M-50M[#[10M-100M[*[10M-100M[#Good
Kim-jong-wook-chat-gi (2010),[1M-10M[#Good
Prophecy (1979),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Dragonfly (2002),Four months#>= 50M*>= 50M#[10M-100M[*[10M-100M[#Good
Mike and Dave Need Wedding Dates (2016),[10M-50M[#[10M-100M[*[10M-100M[#Good
Ridiculus Mortis: Solo la muerte se flipa 2 veces (2007),Less than a week#< 1K
Nuit de noces (2001),[1M-5M[#[1M-10M[*[1M-10M[#Good
Tales from the Darkside: The Movie (1990),Three months#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Good
Kyun! Ho Gaya Na... (2004),< 1M#Below average
Intersect (2014),Less than a week#< 1K
Ivansxtc (2000),< 1M#Good
Teoriya zapoya (2003),< 1M#Good
Kyaputen Hrokku (2013),[10M-50M[#[1M-10M[*[1M-10M[#Good
Shoot (1976),Two months#[500K-1M[
Witch's Brew (2011),Three months#[10K-50K[
Guardian Angel (1994),2 hours#Two months*< 1M#Below average
Morgan: 100 Not Out (2009),1.5 hours#Three months
The Eternal Pitfall of Prokofiev (2009),Less than a week#[1K-5K[
gget r lst! En hrdkokt saga (1975),< 1M#Good
The Road Killers (1994),Two months#[5M-10M[*[5M-10M[#< 1M*< 1M#Below average
Across the Great Divide (1976),[10M-100M[#Good
It's Kind of a Funny Story (2010),[5M-10M[#[1M-10M[*[1M-10M[#Good
The Seven of Daran: The Battle of Pareo Rock (2008),1.5 hours#Three months*Three months#[5M-10M[*[5M-10M[#< 1M*< 1M#Good
Timecop (1994),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Television (2005),One month#[10K-50K[
After School Massacre (2014),One month#[10K-50K[
Les Seigneurs d'Outre Monde (2016),More than six months#[50K-100K[
New Terminal Hotel (2010),Two months#[100K-500K[
Black Gunn (1972),2 hours#Two months
The Tournament (2009),Three months#[5M-10M[
Kirschblten - Hanami (2008),3 hours#Two months*[1M-10M[#Good
Copain de mmoires (2007),Less than 15 minutes#One month*One month#[1K-5K[
Get Bruce (1999),< 1M#Good
5 x 90: The Wake (2005),Less than 15 minutes#Less than a week*Less than a week#[10K-50K[
Ich brauche dich (1944),1.5 hours#Three months
Celal ile Ceren (2013),< 1M#Bad
Abou Al Oureef (2014),2 hours#One month*One month#[100K-500K[
Young Adult (2011),Two months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Rendez-Vous (2015),< 1M#Below average
New York Confidential (1955),[1M-10M[#Good
The Perfect Stranger (2005),1.5 hours#Three months*Three months#[50K-100K[
Le solitaire passe  l'attaque (1966),< 1M#Below average
Just a Little Harmless Sex (1998),< 1M#Below average
Filhaal... (2002),[1M-10M[#Below average
Hachi-gatsu no rapusod (1991),< 1M#Good
The Pursuit of D.B. Cooper (1981),[10M-50M[#[1M-10M[*[1M-10M[#Below average
The Last Temptation of Christ (1988),Three months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Good
200 Motels (1971),Less than a week#[500K-1M[
Astrix: Le domaine des dieux (2014),[10M-50M[#[10M-100M[*[10M-100M[#Good
Santo contra los zombies (1962),1.5 hours#One month
The Desert Song (1929),[100K-500K[#[1M-10M[*[1M-10M[#Good
L'vasion (2009),2 hours#One month
Kisses (2008),< 1M#Good
Blind Horizon (2003),2 hours#Two months*Two months#[1M-5M[*[1M-5M[#< 1M*< 1M#Below average
Captain Valedor versus the Spider Queen (2004),Less than 15 minutes#Less than a week
Bakit papa? (2002),< 1M#Good
Cachorro (2004),< 1M#Good
Welcome to the Punch (2013),[5M-10M[#< 1M*< 1M#Good
Phantasm II (1988),[1M-5M[#[1M-10M[*[1M-10M[#Good
An Invited Guest (1999),< 1M#Below average
Journal d'une femme de chambre (2015),< 1M#Below average
Boat Trip (2002),2 hours#Four months*Four months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Below average
Rainy Days (1928),30 minutes#Two months
Sin noticias de Dios (2001),[5K-10K[#[1M-10M[*[1M-10M[#Good
This Guy's in Love with U Mare! (2012),[1M-10M[#Good
Gli esecutori (1976),< 1M#Below average
Uncharted: Hidden Tyrants (2013),More than six months#[1K-5K[
L'important c'est d'aimer (1975),< 1M#Good
Le spie vengono dal semifreddo (1966),< 1M#Bad
The Malay Chronicles: Bloodlines (2011),[5M-10M[#[1M-10M[*[1M-10M[#Bad
Gang jiong (2015),> 100M#Below average
Allure (2009),Less than 15 minutes#One month*One month#[50K-100K[
Playboy: Secrets of Euromassage (1989),1 hour#More than six months
Nnette (2010),< 1M#Good
El vendedor de ilusiones (1971),< 1M#Bad
Dark Streets of Cairo (1940),1 hour#One month
Lazarus Rising (2015),Three months#[100K-500K[
Colourbars (2006),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
Die Tochter des Schmieds 1 (2000),< 1M#Good
3 Idiots (2009),[5M-10M[#[10M-100M[*[10M-100M[#Excellent
Amours clbres (1961),< 1M#Below average
See Jane Date (2003),1.5 hours#One month
Spank (2003),30 minutes#Less than a week*Less than a week#< 1K*< 1K#< 1M*< 1M#Good
Cyborg 2: Glass Shadow (1993),Two months#[1M-5M[
Rochez and Company (2007),30 minutes#More than six months*More than six months#[10K-50K[
Rule of Three (2008),1.5 hours#One month*One month#[100K-500K[
180 South (2010),< 1M#Good
Joy Ride (2001),[10M-50M[#[10M-100M[*[10M-100M[#Good
Mannequin (1926),1.5 hours#Three months
A Funny Thing Happened on the Way to the Forum (1966),Four months#[1M-5M[
Tango Charlie (2005),< 1M#Good
Farewell Calm Days (2010),< 1K#< 1M
Le meraviglie di Aladino (1961),2 hours#Two months*< 1M#Below average
Murder.com (2008),< 1M#Bad
Corrida pour un espion (1965),< 1M#Below average
Peter and Vandy (2009),[100K-500K[#< 1M*< 1M#Good
Klassefesten 3: Dben (2016),Three months#[1M-5M[
Generazione mille euro (2009),[1M-10M[#Good
The Killer Inside Me (2010),Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Good
Eisenhans (1983),2 hours#Two months
Ab Tumhare Hawale Watan Saathiyo (2004),[1M-10M[#Below average
Little Ashes (2008),[1M-5M[#< 1M*< 1M#Good
Big Time (1988),< 1M#Excellent
La balia (1999),< 1M#Good
Mastizaade (2016),< 1M#Bad
Otto's Eleven (2010),2 hours#Two months
Thir13en Ghosts (2001),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Cifrato speciale (1966),< 1M#Below average
Genius (1999),1.5 hours#Three months
Turneja (2008),2 hours#Three months
Never Say Never Again (1983),[10M-50M[#> 100M*> 100M#Good
The Truth About Angels (2011),One month#[100K-500K[
Remember Me (2010),[10M-50M[#[10M-100M[*[10M-100M[#Good
L'arme du salut (2013),[1M-5M[#< 1M*< 1M#Below average
Gold (1974),2 hours#Six months*Six months#[1M-5M[
The Wedding Ringer (2015),[10M-50M[#[10M-100M[*[10M-100M[#Good
Only the Strong (1993),Two months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Good
Obaba (2005),2 hours#Three months
The Fire in the Stone (1984),2 hours#Three months*Three months#[1M-5M[
Black Circle Boys (1997),Three months#[500K-1M[
Fantasa... 3 (1966),< 1M#Below average
Mrs Dalloway (1997),[1M-10M[#Good
Who Is Cletis Tout? (2001),Three months#[5M-10M[*[5M-10M[#< 1M*< 1M#Good
Lejos de los rboles (1972),< 1M#Good
Nuts in May (1917),30 minutes#Three months
The Non-Stop Kid (1918),Less than 15 minutes#Less than a week
The Grifters (1990),[10M-100M[#Good
The Rejects (2008),[1K-5K[#< 1M
The Pleasure of Your Company (2006),[1M-10M[#Below average
The Line, the Cross & the Curve (1993),< 1M#Good
Oorlogsgeheimen (2014),[1M-10M[#Good
Born American (1986),[1M-5M[#[1M-10M[*[1M-10M[#Below average
Jing Cheng 81 Hao (2014),[10M-50M[#[10M-100M[*[10M-100M[#Below average
A Long Way Off (2014),[100K-500K[#< 1M*< 1M#Below average
Aruitemo aruitemo (2008),< 1M#Excellent
Arthur 3: la guerre des deux mondes (2010),>= 50M#[10M-100M[*[10M-100M[#Below average
We're the Weakerthans, We're from Winnipeg (2010),2 hours#Two months*Two months#[100K-500K[
Le nain rouge (1998),< 1M#Good
Meeting Resistance (2007),< 1M#Good
Slug Street Scrappers: Rise of Ryuken (2012),One month#[1K-5K[
YUL 871 (1966),Two months#[100K-500K[
Tinta roja (2000),< 1M#Good
La famiglia (1987),3 hours#Four months*< 1M#Good
Sleepless Nights: Revisiting the Slumber Party Massacres (2010),1.5 hours#Less than a week*Less than a week#[100K-500K[
Poolhall Junkies (2002),[1M-5M[#< 1M*< 1M#Good
Last Passenger (2013),[1M-5M[#< 1M*< 1M#Below average
L'affaire Dominici (1973),< 1M#Good
Obsession (1954),2 hours#Three months
Rencontre avec un tueur (2009),2 hours#Two months
Manolete (2008),2 hours#Three months*Three months#[10M-50M[
Staircase (1969),2 hours#Four months
Sterling Hallard Bright Drake (2012),Three months#[5K-10K[
Carol (2015),Two months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
I Used to Love Her (2008),[100K-500K[#< 1M*< 1M#Good
Maschi contro femmine (2010),[10M-100M[#Below average
Una famiglia perfetta (2012),[1M-10M[#Good
The Execution of Wanda Jean (2002),< 1M#Good
Journey to the Center of the Earth (2008),[10M-50M[#> 100M*> 100M#Bad
Atlantic City, USA (1980),Three months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
El ltimo cupl (1957),< 1M#Good
La vida es maravillosa (1956),< 1M#Below average
The Devil's Advocate (1997),3 hours#Four months*Four months#>= 50M*>= 50M#> 100M*> 100M#Good
The Perfect Host (2010),[100K-500K[#< 1M*< 1M#Good
Loan Shark (1952),Two months#[100K-500K[
Tiny Furniture (2010),[50K-100K[#< 1M*< 1M#Good
Taegukgi hwinalrimyeo (2004),More than six months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Excellent
La mentale (2002),< 1M#Below average
Hollywood Kills (2006),1.5 hours#One month*One month#[100K-500K[
A Simple Wish (1997),Four months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Below average
Demimonde (2016),2 hours#One month
La muerte del escorpin (1976),< 1M#Bad
Urban Justice (2007),One month#[10M-50M[
Longshot (2001),Three months#[10M-50M[
Martwe dzieci (2012),One month#< 1K
The Getaway (1994),2 hours#Three months*[10M-100M[#Below average
Promised Lands (1974),< 1M#Below average
20 centmetros (2005),< 1M#Good
Point Blank (1967),Six months#[1M-5M[
Blood on the Moon (2007),Less than a week#[100K-500K[
Passato prossimo (2003),< 1M#Good
Meet Me in Italy (2009),Three months#[5M-10M[
Babymother (1998),[1M-5M[#< 1M*< 1M#Below average
Hansel & Gretel (2002),< 1M#Bad
Soulmates (2008),30 minutes#One month*One month#[10K-50K[
Operace Dunaj (2009),2 hours#Two months
Volg mij (2015),Less than a week#[1K-5K[
Blast from the Past (1999),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Scarlet Rain (2010),1.5 hours#One month*One month#[100K-500K[
Yugo and Lala (2012),[500K-1M[#[1M-10M[*[1M-10M[#Below average
Los 7 de Pancho Villa (1967),< 1M#Bad
Chinjeolhan geumjassi (2005),2 hours#Six months*Six months#[1M-5M[*[1M-5M[#< 1M*< 1M#Good
Ana y los lobos (1973),< 1M#Good
Gegenber von Trost (2009),30 minutes#One month
The Principal (1987),[10M-100M[#Good
The Black Knight Returns (2009),Three months#[10K-50K[
Suds (1920),< 1M#Good
Mustang (2015),[1M-5M[#[1M-10M[*[1M-10M[#Good
Otto - Der Film (1985),[10M-100M[#Good
The Shrine (2010),Two months#[1M-5M[
Dei tau lung (1990),< 1M#Below average
Exterminator 2 (1984),[1M-10M[#Bad
I Wish You Love (1973),1 hour#Less than a week
Oh Heavenly Dog (1980),[1M-10M[#Below average
Priest (1994),[1M-10M[#Good
Flowers in the Attic (1987),[10M-100M[#Below average
File Box (2013),1.5 hours#One month
Memoirs (2015),One month#[5K-10K[
Enga Veetu Pillai (1965),< 1M#Excellent
Kaboom (2010),< 1M#Below average
Maine Pyaar Kyun Kiya (2005),[10M-100M[#Below average
Trolls (2009),Less than a week#[1K-5K[
An Occurrence at Black Canyon (2004),30 minutes#Less than a week*Less than a week#[10K-50K[
Always in My Heart (1942),1.5 hours#Three months
All Is Lost (2013),[5M-10M[#[10M-100M[*[10M-100M[#Good
The Lord of the Rings: The Two Towers (2002),Three months#>= 50M*>= 50M#> 100M*> 100M#Excellent
Primo Baby (1990),Two months#[1M-5M[
Mais ne nous dlivrez pas du mal (1971),2 hours#Three months
Dieu est grand, je suis toute petite (2001),< 1M#Below average
Tiramis (2016),[1M-10M[#Below average
Company Man (2000),1.5 hours#Two months*Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Below average
A Polish Vampire in Burbank (1983),[1K-5K[#< 1M*< 1M#Below average
Runaway Father (1991),2 hours#One month
Monk Dawson (1998),< 1M#Good
Ring of Steel (1994),2 hours#One month
Why Rock the Boat? (1974),Three months#[100K-500K[
Six-String Samurai (1998),Four months#[1M-5M[*[1M-5M[#< 1M*< 1M#Good
The Chronicles of Riddick (2004),3 hours#Five months*Five months#>= 50M*>= 50M#> 100M*> 100M#Good
Don Giovanni (2003),3 hours#Two months
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005),>= 50M#> 100M*> 100M#Good
Chambaili (2013),[100K-500K[#< 1M*< 1M#Excellent
Careful What You Wish For (2010),Less than a week#[50K-100K[
Reeseville (2003),< 1M#Below average
Mrs Henderson Presents (2005),[10M-50M[#[10M-100M[*[10M-100M[#Good
Beowulf (1999),2 hours#Three months*Three months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Below average
Stuck in the Muck (2008),2 hours#One month*One month#[500K-1M[
Gojira, Mosura, Kingu Gidor: Daikaij skgeki (2001),Less than a week#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
Skavablen pojat (2009),Three months#[1M-5M[
La noche oscura (1989),< 1M#Good
Student of the Year (2012),< 1M#Below average
This Dark Place (2010),Less than 15 minutes#One month
Firestarter (1984),[10M-50M[#[10M-100M[*[10M-100M[#Good
A Most Violent Year (2014),Four months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Good
Nacho Libre (2006),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Sweet 16 (1983),1.5 hours#Three months
Duets (2000),[10M-50M[#[1M-10M[*[1M-10M[#Good
Kreating Karloff (2006),1 hour#Less than a week*Less than a week#[10K-50K[
White Nights (1985),[10M-100M[#Good
Velayudham (2011),[5M-10M[#[1M-10M[*[1M-10M[#Good
Sun Shadows: Faithful Kiss (2011),Four months#[5K-10K[
Stepfather III (1992),Two months#[1M-5M[
Karov La Bayit (2005),< 1M#Good
La caliente nia Julietta (1981),< 1M#Below average
Os cinco Avisos de Satans (1970),< 1M#Good
Madam Satan (1930),Three months#[500K-1M[*[500K-1M[#< 1M*< 1M#Good
Charlie's Box (1994),Two months#[1K-5K[
A los que aman (1998),[1M-5M[#< 1M*< 1M#Good
Equals (2015),Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Good
Integro (2006),One month#[100K-500K[
Rapmania: The Roots of Rap (1990),[1M-5M[#[1M-10M[*[1M-10M[#Excellent
Absolute Trust (2009),1.5 hours#One month
When a City Falls (2011),More than six months#[100K-500K[
Conquest of the Planet of the Apes (1972),[1M-5M[#[1M-10M[*[1M-10M[#Good
Housefull 3 (2016),[1M-10M[#Below average
Alex l'ariete (2000),[1M-5M[#< 1M*< 1M#Bad
Sam Bargo and the Lacertilians (2010),One month#[5K-10K[
Look Both Ways (2005),2 hours#Three months*[1M-10M[#Good
Escape from Chernobourg (1999),More than six months#[1K-5K[
Bashevis, a Love Story (2017),More than six months#[1M-5M[
Labyrinth (1986),Five months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Far Cry (2008),Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Bad
Last Call at the Oasis (2011),< 1M#Good
Oberst Redl (1985),[1M-10M[#Good
El bosque del lobo (1970),< 1M#Good
Good Bad Boys (1940),Less than a week#[10K-50K[*[10K-50K[#< 1M*< 1M#Below average
L'homme  tout faire (1980),Two months#[100K-500K[
The Substance of Fire (1996),< 1M#Good
Una piccola impresa meridionale (2013),[1M-10M[#Good
Ratas del asfalto (1978),1.5 hours#Three months
Soir bleu (2007),30 minutes#Less than a week
Infiltrators (2014),Two months#[500K-1M[
Bichunmoo (2000),[1M-5M[#< 1M*< 1M#Good
Cavale (2002),< 1M#Good
Nereikalingi zmones (2008),2 hours#Two months
Christmas Toy Story (2012),Less than a week#< 1K
Maps to the Stars (2014),Two months#[10M-50M[*[10M-50M[#< 1M*< 1M#Good
Project Grey (2007),More than six months#[100K-500K[
Delirious (2006),[1M-5M[#< 1M*< 1M#Good
Fassbinder in Hollywood (2002),< 1M#Good
Slave (2012),2 hours#Two months
Switch: A Community in Transition (2009),1 hour#More than six months
The Well (1997),[1M-5M[#< 1M*< 1M#Good
Mindtrap (2013),Less than a week#[1K-5K[
Invisible Agent (1942),[100K-500K[#< 1M*< 1M#Good
Hong gao liang (1987),< 1M#Good
For Queen & Country (1988),< 1M#Below average
Walk of Shame (2014),< 1M#Good
From Prada to Nada (2011),2 hours#Three months*[1M-10M[#Below average
Pijnstillers (2014),[1M-5M[#< 1M*< 1M#Good
Cemetery Junction (2010),[1M-10M[#Good
Inside the Third Reich (1982),More than 3 hours#Three months
Flying Monsters 3D with David Attenborough (2011),[1M-10M[#Good
Hiding and Seeking: Faith and Tolerance After the Holocaust (2004),< 1M#Good
Den eneste ene (1999),[1M-10M[#Good
Scream 3 (2000),[10M-50M[#> 100M*> 100M#Below average
Secret in Their Eyes (2015),[10M-50M[#[10M-100M[*[10M-100M[#Good
The Kindred (1987),[1M-10M[#Below average
The Connected Generation (2011),Two months#[10K-50K[
Inspector Gadget 2 (2003),[10M-50M[#[10M-100M[*[10M-100M[#Bad
Cool Runnings (1993),Three months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Baghead (2008),< 1M#Good
Augen der Liebe (1951),2 hours#More than six months
Bad Moon (1996),Two months#[5M-10M[*[5M-10M[#< 1M*< 1M#Below average
Not Forgotten (2009),2 hours#Two months*< 1M#Below average
Riding the Bullet (2004),[1M-5M[#< 1M*< 1M#Below average
Man cheng jin dai huang jin jia (2006),[10M-50M[#[10M-100M[*[10M-100M[#Good
Sandbox (2011),Less than 15 minutes#Five months
The Helix... Loaded (2005),2 hours#Two months*Two months#[500K-1M[*[500K-1M[#< 1M*< 1M#Bad
Torment (2008),1.5 hours#Less than a week
The Jazz Singer (1927),Three months#[100K-500K[*[100K-500K[#[1M-10M[*[1M-10M[#Good
Stepmonster (1993),1.5 hours#One month
You ling ren jian (2001),< 1M#Below average
L'affaire Coffin (1980),Two months#[500K-1M[
White House (2010),< 1M#Below average
His December 20th Story (2008),Less than 15 minutes#Less than a week
Gottfried Helnwein and the Dreaming Child (2011),[100K-500K[#< 1M*< 1M#Below average
Mies vailla menneisyytt (2002),Three months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
Guilt & Sentence (2010),2 hours#One month*One month#[10K-50K[
